alpha,phi,h
0.014250,0.690451,0.729485
0.018019,0.783842,0.786292
0.084027,0.738679,0.720043
-0.008988,0.725486,0.757477
-0.000049,0.672733,0.749924
0.033498,0.781534,0.715450
0.044671,0.684408,0.707254
0.026965,0.734646,0.707859
0.029373,0.740304,0.792203
0.013958,0.688633,0.669154
0.034940,0.712262,0.742577
0.067143,0.732767,0.724587
0.023986,0.688206,0.695870
0.038166,0.722247,0.693331
0.047562,0.650901,0.663656
-0.000390,0.719258,0.754285
-0.026819,0.680998,0.727205
0.072807,0.771783,0.718344
0.028603,0.738485,0.707569
0.079562,0.726659,0.752135
0.044218,0.747227,0.772159
-0.008180,0.737045,0.764627
0.049151,0.698500,0.749870
0.043588,0.625228,0.791858
-0.009246,0.749719,0.718194
-0.005449,0.662379,0.709413
0.056238,0.691259,0.736527
-0.013180,0.720209,0.641188
0.019711,0.698217,0.679868
0.000234,0.692031,0.741713
-0.007421,0.625695,0.682488
0.028726,0.755004,0.761089
0.016545,0.711546,0.769138
0.015582,0.692651,0.699459
0.082905,0.720069,0.706202
0.023925,0.738499,0.714764
0.059442,0.642439,0.716616
0.035598,0.707618,0.771518
0.015989,0.705979,0.719835
0.036494,0.700857,0.732276
0.075200,0.710645,0.786449
-0.002784,0.740432,0.713937
-0.011406,0.696200,0.740527
0.027392,0.716529,0.745212
0.008134,0.681258,0.753316
0.051171,0.726399,0.631465
0.067225,0.715981,0.773233
0.087013,0.745761,0.672919
-0.039770,0.686428,0.684118
0.046344,0.744436,0.727717
0.055406,0.730919,0.707184
0.037793,0.689863,0.726160
0.070560,0.704564,0.709482
0.025236,0.713832,0.722199
0.032142,0.707971,0.744524
0.040649,0.689644,0.781258
0.060851,0.680369,0.747808
-0.006754,0.672938,0.716350
-0.029384,0.731690,0.753053
-0.004804,0.708613,0.697821
0.045163,0.694392,0.713907
0.030310,0.745062,0.709730
0.020437,0.753465,0.709341
0.043314,0.701917,0.755815
0.059910,0.752119,0.627213
0.002683,0.728148,0.710595
0.049649,0.670883,0.734777
0.027779,0.678218,0.703266
0.050945,0.703891,0.691962
-0.010842,0.687932,0.734676
0.015274,0.725088,0.692025
0.005228,0.683323,0.754813
-0.065934,0.718873,0.758837
-0.018200,0.699053,0.757310
0.003922,0.682686,0.742631
0.054938,0.720648,0.759705
-0.053737,0.744767,0.730003
0.068217,0.719372,0.693231
-0.015339,0.747155,0.741685
0.069565,0.727672,0.760566
-0.008507,0.675219,0.776063
-0.022709,0.738514,0.726491
-0.019511,0.673499,0.739611
0.091329,0.665096,0.691998
0.001037,0.689710,0.779589
0.002080,0.690447,0.768882
0.084162,0.738097,0.720914
-0.000852,0.703557,0.716116
0.026902,0.732416,0.755823
0.080954,0.707673,0.741880
0.100606,0.771196,0.704349
-0.002034,0.770891,0.795180
0.069009,0.744045,0.689449
0.039315,0.742111,0.735468
0.000413,0.730021,0.695198
0.054591,0.701193,0.720606
0.025100,0.685352,0.740264
0.100927,0.657760,0.667028
0.027765,0.710719,0.726278
0.053995,0.735209,0.728792
