alpha,phi,h
0.300000,0.829375,0.088100
0.100000,0.497425,0.452450
0.128572,0.287117,0.429500
0.238096,0.413867,0.260183
0.057143,0.748088,0.516525
0.228572,0.427493,0.296971
0.328572,0.801033,0.386500
0.108163,0.497871,0.565643
0.271429,0.872275,0.297800
0.252381,0.435333,0.210800
0.177143,0.640420,0.115440
0.166667,0.442750,0.483450
0.185714,0.518370,0.167280
0.164286,0.464950,0.176050
0.271429,0.406700,0.310640
0.202041,0.476736,0.346786
0.250000,0.305125,0.204450
0.104762,0.688800,0.308533
0.138095,0.052317,0.134183
0.042857,0.378740,0.529380
0.051786,0.073431,0.392650
0.011429,0.430320,0.223780
0.142857,0.248014,0.188543
0.094286,0.665290,0.247960
0.188095,0.372333,0.471867
0.255555,0.342678,0.372600
0.187301,0.482128,0.298333
0.104762,0.923500,0.117433
0.171428,0.654175,0.243400
0.371429,0.850750,0.035800
0.052381,0.455783,0.440600
0.234286,0.119370,0.207280
0.592857,0.619600,0.520800
0.242857,0.475012,0.243300
0.040476,0.484183,0.495100
0.191429,0.650600,0.098920
0.095238,0.539817,0.205567
0.207143,0.383675,0.545150
0.057143,0.467021,0.600457
0.257142,0.393650,0.498150
0.275000,0.771275,0.418575
0.154762,0.718517,0.346383
0.310204,0.381836,0.374414
0.137143,0.493170,0.125440
0.028571,0.150375,0.452350
0.271429,0.071133,0.399800
0.300000,0.427217,0.438117
0.028571,0.441100,0.006500
0.142857,0.174200,0.577200
0.128571,0.819036,0.273771
0.466667,0.500683,0.191367
0.128572,0.412140,0.362240
0.160000,0.349370,0.235600
0.157143,0.219233,0.323367
0.188572,0.942220,0.299680
0.064286,0.516960,0.412590
0.371429,0.850750,0.035800
0.035715,0.557300,0.390300
0.085714,0.359375,0.301400
0.033333,0.349800,0.601733
0.252381,0.252692,0.541700
0.403174,0.440061,0.053756
0.147619,0.770258,0.357017
0.096428,0.326350,0.467075
0.354286,0.739320,0.444920
0.142857,0.890220,0.061840
0.068571,0.300730,0.593400
0.314286,0.323900,0.543300
0.075510,0.381043,0.355014
0.100000,0.373706,0.459888
0.245238,0.293825,0.135250
0.157143,0.558290,0.423480
0.414285,0.549286,0.138886
0.308163,0.371586,0.363614
0.222857,0.698960,0.242700
0.214286,0.520667,0.141567
0.114285,0.133937,0.119425
0.471429,0.497600,0.271020
0.210715,0.844200,0.325575
0.095238,0.254317,0.449233
0.273810,0.764342,0.303233
0.028571,0.210600,0.476000
0.496428,0.154000,0.503275
0.195238,0.769600,0.377167
0.206123,0.462136,0.271157
0.357143,0.564350,0.131600
0.280000,0.362880,0.451840
0.214286,0.111950,0.272900
0.114286,0.703833,0.221267
0.092857,0.657375,0.167983
0.419048,0.561125,0.064917
0.138095,0.788700,0.275333
0.135715,0.545775,0.168800
0.657143,0.626900,0.536000
0.385714,0.584483,0.189333
0.053571,0.076487,0.310950
0.140000,0.245530,0.676960
0.057143,0.479658,0.580667
0.425714,0.080630,0.376840
0.525000,0.087800,0.412725
