alpha,phi,h
0.396799,0.905047,0.365520
0.373538,0.877126,0.400884
0.392945,0.884053,0.395329
0.299940,0.866219,0.406087
0.357514,0.797716,0.462360
0.362191,0.895188,0.355897
0.371292,0.900351,0.453543
0.397281,0.927293,0.416080
0.324199,0.869687,0.402149
0.326446,0.908092,0.413222
0.384500,0.899876,0.355830
0.383000,0.897445,0.415418
0.346539,0.913818,0.405458
0.344672,0.904065,0.464100
0.396816,0.898982,0.385922
0.351805,0.876574,0.399606
0.381147,0.904579,0.424255
0.407386,0.864837,0.375316
0.335901,0.911178,0.411567
0.360637,0.928177,0.425395
0.447462,0.906885,0.378670
0.343401,0.871725,0.396072
0.394370,0.907056,0.468797
0.337978,0.917955,0.331060
0.421098,0.887357,0.455741
0.352816,0.899773,0.444719
0.363691,0.916050,0.434266
0.311582,0.893420,0.380219
0.425996,0.864237,0.366765
0.345360,0.880348,0.435614
0.390622,0.916532,0.362080
0.340728,0.874295,0.422853
0.355927,0.898529,0.366518
0.403026,0.878349,0.444304
0.368849,0.826735,0.379334
0.429518,0.848590,0.368752
0.348516,0.904782,0.351390
0.392493,0.874570,0.365195
0.426761,0.863110,0.447697
0.330464,0.903414,0.412993
0.389763,0.938976,0.380034
0.353651,0.938084,0.396983
0.324956,0.903150,0.427478
0.368016,0.863627,0.420242
0.401079,0.869194,0.404261
0.391976,0.904678,0.396906
0.402585,0.835614,0.446564
0.340913,0.885948,0.380658
0.348129,0.857930,0.371681
0.366084,0.884653,0.352630
0.378699,0.893353,0.460147
0.305857,0.867947,0.425753
0.411495,0.903988,0.401012
0.344651,0.826829,0.447263
0.371607,0.928018,0.390355
0.407237,0.931616,0.434839
0.322473,0.886712,0.373115
0.383156,0.902945,0.431907
0.376638,0.914428,0.433182
0.350702,0.874879,0.349080
0.306373,0.873967,0.361396
0.402373,0.925669,0.440806
0.381321,0.869292,0.398422
0.395099,0.928077,0.399544
0.382153,0.843745,0.396554
0.369292,0.898492,0.326606
0.391899,0.862838,0.424593
0.314461,0.886499,0.442042
0.413873,0.880216,0.375102
0.394785,0.926073,0.383296
0.411834,0.891583,0.398414
0.369901,0.904911,0.410907
0.373696,0.891972,0.381894
0.387114,0.863423,0.347515
0.386978,0.919216,0.412772
0.394968,0.924090,0.391364
0.373783,0.905538,0.407608
0.382884,0.919475,0.406247
0.392075,0.895965,0.363862
0.371019,0.928139,0.423916
0.308273,0.931040,0.425562
0.327106,0.943609,0.468675
0.375975,0.903829,0.423218
0.387899,0.895037,0.358484
0.408073,0.902430,0.416349
0.336461,0.875571,0.420558
0.381817,0.954760,0.408090
0.335576,0.862361,0.402040
0.355707,0.942215,0.408226
0.347490,0.893932,0.413732
0.351937,0.912299,0.464451
0.365415,0.887505,0.421544
0.357151,0.899022,0.363615
0.394345,0.895699,0.377473
0.412669,0.912010,0.414332
0.302976,0.911223,0.376004
0.367453,0.913989,0.367530
0.424258,0.827601,0.436777
0.293352,0.884824,0.374101
0.410267,0.881309,0.442786
