alpha,phi,h
0.543965,0.673219,0.463632
0.424520,0.471437,0.599766
0.363010,0.524528,0.480782
0.444493,0.507509,0.494032
0.481715,0.428843,0.370914
0.561502,0.574125,0.375995
0.531264,0.553183,0.391271
0.482349,0.471287,0.404168
0.410423,0.566371,0.348457
0.447589,0.568822,0.395196
0.551197,0.557587,0.436020
0.560381,0.549315,0.571892
0.524995,0.503807,0.602715
0.443791,0.417553,0.543934
0.531755,0.390145,0.447920
0.507184,0.440058,0.634636
0.473295,0.418619,0.454264
0.567496,0.484020,0.583072
0.420255,0.391387,0.550272
0.594927,0.437286,0.571862
0.436698,0.440268,0.569380
0.462794,0.608115,0.414002
0.385927,0.664474,0.594707
0.450685,0.382458,0.564611
0.407730,0.548974,0.547757
0.327786,0.467296,0.425807
0.568044,0.363731,0.403651
0.551974,0.646355,0.483927
0.517541,0.452737,0.576391
0.495291,0.521203,0.617448
0.504223,0.431606,0.500694
0.561571,0.500145,0.574217
0.259243,1.146207,0.069598
0.446389,0.526458,0.511086
0.494358,0.521933,0.552567
0.471791,0.536470,0.572476
0.547379,0.476954,0.494469
0.507584,0.538684,0.598531
0.476467,0.513933,0.591831
0.618162,0.497790,0.433250
0.558315,0.485473,0.621565
0.509292,0.521111,0.472262
0.541267,0.455005,0.570266
0.453620,0.618360,0.552788
0.528304,0.606315,0.516900
0.519506,0.398530,0.527744
0.415370,0.494790,0.569158
0.443907,0.466015,0.450473
0.494259,0.613738,0.476115
0.382505,0.543063,0.414500
0.407528,0.344471,0.598416
0.480721,0.631261,0.437007
0.967064,1.122124,0.502224
0.637444,0.510894,0.446360
0.582993,0.501003,0.603057
0.584459,0.485148,0.480852
0.359652,0.520006,0.410091
0.688760,0.676745,0.410050
0.570566,0.411098,0.495036
0.595270,0.572645,0.435955
0.573475,0.366539,0.529787
0.673339,0.442313,0.453078
0.486071,0.582419,0.486692
0.500111,0.588405,0.195947
0.505861,0.407278,0.493141
0.515607,0.570614,0.465818
0.514866,0.757407,0.500108
0.471541,0.730840,0.509258
0.508021,0.465689,0.595916
0.429521,0.472330,0.549063
0.539120,0.385997,0.539322
0.397721,0.635736,0.455707
0.497524,0.600273,0.364632
0.495205,0.485832,0.438144
0.358822,0.381112,0.578340
0.547005,0.665833,0.567272
0.448855,0.533933,0.592607
0.492152,0.512831,0.488040
0.480324,0.579174,0.488654
0.436382,0.391573,0.483570
0.461862,0.502962,0.448129
0.329292,0.715079,0.587144
0.465958,0.322838,0.426780
0.403372,0.510359,0.652693
0.565815,0.579988,0.536781
0.377307,0.439563,0.500425
0.348227,0.456527,0.449255
0.434308,0.514244,0.538740
0.454643,0.341246,0.459335
0.505994,0.412939,0.704444
0.595496,0.512121,0.650927
0.417574,0.513580,0.513281
0.568095,0.632316,0.484420
0.524999,0.582784,0.445791
0.452646,0.438200,0.558033
0.396795,0.486799,0.555575
0.601882,0.440672,0.491428
0.558061,0.531761,0.679728
0.502557,0.645018,0.510125
0.436382,0.482905,0.622166
