alpha,phi,h
0.400664,0.401592,0.433310
0.450638,0.218138,0.429167
0.421059,0.397220,0.429647
0.608729,0.234805,0.436734
0.615165,0.509516,0.357337
0.268680,0.407235,0.526312
0.314167,0.268443,0.453713
0.511931,0.358536,0.462107
0.432239,0.395194,0.448157
0.447063,0.534170,0.505717
0.515471,0.295495,0.272851
0.451172,0.399006,0.535317
0.554658,0.332718,0.303057
0.460833,0.496498,0.498153
0.488710,0.253480,0.540578
0.614183,0.362555,0.394827
0.485291,0.549396,0.474150
0.506600,0.310923,0.468669
0.366882,0.440212,0.508724
0.697489,0.358206,0.568289
0.327414,0.471751,0.574830
0.441425,0.451847,0.517673
0.443314,0.342999,0.408804
0.506255,0.536409,0.469413
0.432116,0.416649,0.547938
0.616055,0.487619,0.399486
0.624483,0.323101,0.384168
0.646842,0.309774,0.440774
0.418689,0.095353,0.353735
0.504123,0.412096,0.399165
0.313735,0.395270,0.459241
0.602918,0.349042,0.555888
0.449614,0.231899,0.534732
0.408566,0.409475,0.463130
0.215876,0.448720,0.424739
0.380834,0.409607,0.476109
0.481930,0.348334,0.513551
0.399237,0.323947,0.550805
0.403166,0.456788,0.558900
0.398499,0.455906,0.497377
0.520012,0.473369,0.357417
0.599216,0.334373,0.263635
0.514125,0.235980,0.454311
0.454488,0.571851,0.533121
0.558224,0.381163,0.527823
0.299749,0.376087,0.397132
0.483315,0.411305,0.245129
0.477446,0.349604,0.598726
0.629319,0.285855,0.382041
0.578313,0.448837,0.473253
0.473560,0.428695,0.485669
0.347735,0.389555,0.442430
0.655015,0.671084,0.476573
0.550836,0.511528,0.443772
0.506667,0.227611,0.358333
0.265282,0.346817,0.370176
0.569132,0.139066,0.217018
0.479315,0.614926,0.564928
0.576663,0.306044,0.442172
0.494300,0.209992,0.444572
0.468780,0.445704,0.347966
0.374169,0.472776,0.502912
0.464957,0.464137,0.345863
0.561782,0.526430,0.566759
0.675852,0.520943,0.324128
0.404756,0.412222,0.562992
0.452596,0.350551,0.535580
0.475338,0.302803,0.443937
0.487932,0.345537,0.447208
0.371859,0.237432,0.429678
0.690389,0.518155,0.537128
0.484858,0.563459,0.527513
0.371167,0.239304,0.409742
0.354218,0.402894,0.456882
0.466874,0.396401,0.343966
0.309912,0.387774,0.408048
0.348610,0.383240,0.487555
0.420651,0.485510,0.482468
0.477852,0.329140,0.493785
0.189552,0.294331,0.453236
0.478987,0.274009,0.496351
0.541771,0.471846,0.477257
0.495004,0.211371,0.381126
0.512614,0.470584,0.476507
0.238147,0.386547,0.394160
0.438132,0.423814,0.533510
0.450071,0.391210,0.484694
0.394082,0.317747,0.463657
0.399186,0.322151,0.465165
0.582785,0.490995,0.505732
0.587795,0.326413,0.405604
0.473948,0.474581,0.506752
0.208777,0.283859,0.347296
0.472631,0.334599,0.332993
0.576306,0.345125,0.348065
0.324176,0.450694,0.553156
0.461641,0.493740,0.583593
0.456583,0.697080,0.520877
0.524528,0.103939,0.290594
0.512138,0.626775,0.545691
