alpha,phi,h
0.538095,0.798833,0.668267
0.607143,0.397750,0.946700
0.228571,0.963100,0.687700
0.869643,0.334975,0.648813
0.472727,0.344814,0.757545
0.823809,0.524375,0.897517
0.914286,0.449750,0.563200
0.628572,0.544228,0.907233
0.494643,0.184563,0.710963
0.561225,0.961000,0.778171
0.685714,0.061250,0.702900
0.577143,0.799110,0.468000
0.671428,0.092050,0.823600
0.457143,0.543150,0.884767
0.414286,0.677250,0.859160
0.447619,0.679500,0.610733
0.542857,0.203162,0.711375
0.400000,0.945533,0.920433
0.342857,0.557600,0.764113
0.882857,0.389120,0.744340
0.457143,0.143320,0.910220
0.542857,0.218200,0.626383
0.285714,0.927100,0.692950
0.651428,0.276640,0.755940
0.621428,0.618450,0.509050
0.614286,0.725213,0.938250
0.585714,0.218400,0.800200
0.585715,0.291025,0.853150
0.475000,0.758750,0.568825
0.431429,0.747890,0.938600
0.871429,0.803750,0.856400
0.553061,0.613150,0.975429
0.578572,0.196025,0.702050
0.480952,0.773450,0.590133
0.318367,0.635757,0.778829
0.402381,0.553392,0.573450
0.645714,0.560780,0.625580
0.500000,0.546250,0.856529
0.150000,0.334875,0.672950
0.525000,0.786325,0.641487
0.330953,0.635033,0.791650
0.388571,0.571710,0.707240
0.405715,0.191720,0.955740
0.894286,0.380180,0.680200
0.250000,0.747325,0.815800
0.814285,0.579900,0.887700
0.611429,0.706930,0.548000
0.635714,0.555900,0.755250
0.957143,0.244342,0.773017
0.378572,0.711150,0.853525
0.535714,0.773975,0.542950
0.609523,0.239733,0.756483
0.596429,0.671150,0.637500
0.362857,0.764610,0.519400
0.942857,0.594450,0.509000
0.914286,0.887200,0.756700
0.461905,0.066033,0.927067
0.771428,0.421725,0.771900
0.692857,0.391850,0.744350
0.285714,0.970933,0.781300
0.442858,0.607450,0.436450
0.566071,0.458200,0.675287
0.754286,0.500760,0.845160
0.480000,0.403200,0.927840
0.468571,0.750740,0.890740
0.474603,0.288533,0.856811
0.417857,0.692488,0.597025
0.595238,0.749792,0.707850
0.916667,0.648608,0.720867
0.504762,0.351975,0.669750
0.776190,0.146475,0.605950
0.537500,0.786850,0.565425
0.457143,0.411557,0.834143
0.742857,0.666650,0.688950
0.742857,0.160713,0.697125
0.336735,0.942871,0.415214
0.464286,0.850700,0.875250
0.807142,0.543800,0.913975
0.814286,0.197880,0.574940
0.780952,0.189089,0.762200
0.578572,0.410350,0.863300
0.571429,0.629750,0.561700
0.551020,0.332671,0.713971
0.449207,0.087944,0.910489
0.421429,0.908075,0.449950
0.619643,0.747881,0.534188
0.576191,0.175092,0.838817
0.635714,0.616075,0.956300
0.601786,0.276506,0.799800
0.657143,0.689225,0.765525
0.585714,0.128058,0.894683
0.573214,0.954537,0.784438
0.214286,0.032000,0.590200
0.476190,0.167533,0.851567
0.571428,0.051344,0.861587
0.300000,0.124450,0.906720
0.571428,0.077767,0.885367
0.900000,0.376425,0.781250
0.561905,0.845183,0.739700
0.553571,0.712350,0.681900
