alpha,phi,h
0.177335,0.346440,0.549022
0.169082,0.418323,0.531468
0.190363,0.360989,0.501156
0.153704,0.390153,0.595942
0.195715,0.348723,0.603855
0.201851,0.336741,0.539338
0.134263,0.379959,0.529160
0.202321,0.381098,0.514196
0.193539,0.370814,0.562776
0.140723,0.298892,0.536337
0.182609,0.355616,0.507333
0.183265,0.398422,0.584484
0.181256,0.340009,0.519597
0.199307,0.388941,0.553916
0.189960,0.297380,0.527155
0.191655,0.343851,0.518214
0.142994,0.394817,0.563839
0.218071,0.384906,0.573225
0.183544,0.324362,0.599538
0.155236,0.355845,0.553962
0.175763,0.315060,0.544166
0.169282,0.342798,0.542777
0.154342,0.381312,0.550104
0.208223,0.370900,0.536175
0.149731,0.336723,0.534428
0.151229,0.331686,0.569463
0.147268,0.341742,0.581232
0.156992,0.330275,0.539737
0.168453,0.344103,0.582193
0.173833,0.340755,0.585042
0.222068,0.425743,0.531976
0.167231,0.344344,0.559524
0.205725,0.396788,0.541733
0.186640,0.338284,0.533953
0.185883,0.304529,0.502233
0.161339,0.356768,0.578309
0.124017,0.361875,0.544625
0.135099,0.335645,0.544252
0.176790,0.295641,0.517914
0.173968,0.364406,0.516522
0.134322,0.368898,0.550285
0.218819,0.388888,0.514907
0.194434,0.393433,0.532128
0.174099,0.314449,0.576024
0.186969,0.346814,0.524970
0.177771,0.379259,0.575576
0.171604,0.335924,0.554244
0.169958,0.403382,0.528248
0.201566,0.356831,0.533389
0.148090,0.379462,0.534889
0.220438,0.372898,0.588297
0.167711,0.359113,0.571986
0.148845,0.353480,0.502514
0.162427,0.350373,0.538712
0.145654,0.370511,0.538844
0.178040,0.369635,0.503495
0.159445,0.374361,0.533391
0.178352,0.343263,0.523846
0.155576,0.347894,0.527310
0.135599,0.328654,0.571495
0.183288,0.364047,0.530529
0.184562,0.339484,0.510445
0.180270,0.337434,0.529476
0.125271,0.349975,0.525613
0.181532,0.371219,0.543455
0.210291,0.391518,0.534972
0.150778,0.309564,0.579974
0.146556,0.344811,0.523050
0.170152,0.342364,0.515010
0.172169,0.352000,0.515946
0.181247,0.382826,0.541321
0.169666,0.359923,0.541934
0.153914,0.309904,0.534973
0.170034,0.379414,0.465760
0.163019,0.344590,0.553766
0.203236,0.332228,0.505224
0.172297,0.359524,0.528217
0.169518,0.366119,0.556558
0.176531,0.344887,0.548399
0.177031,0.331938,0.521189
0.162386,0.335811,0.522832
0.185260,0.356433,0.588814
0.135402,0.347774,0.567205
0.147336,0.380420,0.521933
0.114748,0.344007,0.557023
0.144925,0.412933,0.515626
0.214554,0.390515,0.593389
0.149244,0.391893,0.554206
0.119268,0.351888,0.543591
0.174193,0.334194,0.599037
0.149627,0.327512,0.547837
0.143124,0.374029,0.532818
0.196426,0.353731,0.553262
0.195648,0.353320,0.523968
0.167860,0.377630,0.549934
0.175440,0.363911,0.522209
0.190635,0.353173,0.563764
0.194215,0.346752,0.545407
0.180599,0.358668,0.530905
0.196376,0.365130,0.573330
