alpha,phi,h
0.357143,0.796983,0.181067
0.457143,0.650525,0.203350
0.321429,0.870225,0.159983
0.278572,0.517050,0.696150
0.450000,0.717925,0.459450
0.331429,0.545100,0.433060
0.285714,0.608958,0.297883
0.085714,0.761167,0.454100
0.492857,0.665425,0.616600
0.445238,0.603733,0.187517
0.365079,0.841067,0.438089
0.477143,0.923800,0.865720
0.328572,0.951594,0.150100
0.314286,0.838775,0.212100
0.471429,0.718850,0.012400
0.457143,0.668050,0.762200
0.428572,0.569717,0.296600
0.326531,0.797450,0.358614
0.490476,0.732067,0.614033
0.442857,0.580925,0.394583
0.371428,0.639642,0.345650
0.504762,0.852867,0.387333
0.535714,0.913050,0.057300
0.328571,0.245800,0.208900
0.323810,0.887133,0.700433
0.435714,0.559625,0.287600
0.355357,0.785375,0.634100
0.346429,0.918650,0.090375
0.121428,0.663025,0.075375
0.638095,0.783508,0.168567
0.276191,0.804283,0.342233
0.142857,0.885300,0.108225
0.385715,0.953712,0.124350
0.457143,0.888580,0.084040
0.440476,0.521258,0.195317
0.461224,0.546957,0.271229
0.342857,0.885575,0.308250
0.318367,0.867500,0.221300
0.038095,0.936233,0.390233
0.555102,0.768800,0.244657
0.633333,0.817367,0.130267
0.442857,0.969950,0.170450
0.307143,0.866200,0.203250
0.520000,0.859680,0.289800
0.334286,0.302520,0.914760
0.385714,0.297225,0.133825
0.350000,0.652375,0.132400
0.337143,0.606420,0.090180
0.354286,0.939255,0.309140
0.519048,0.810350,0.029867
0.257142,0.827550,0.440200
0.296429,0.953512,0.118450
0.328571,0.245800,0.208900
0.808571,0.833580,0.341380
0.169048,0.247008,0.498083
0.660000,0.900800,0.451120
0.374286,0.957990,0.139520
0.390476,0.925608,0.141783
0.308163,0.697164,0.080357
0.660000,0.813280,0.147380
0.695238,0.466817,0.076633
0.382857,0.755980,0.155560
0.523809,0.687583,0.392733
0.609524,0.795617,0.325900
0.278571,0.565675,0.355950
0.495238,0.733075,0.107600
0.542857,0.788713,0.185250
0.592857,0.909650,0.449175
0.508571,0.697110,0.281280
0.336508,0.925478,0.339833
0.278571,0.914800,0.750475
0.350000,0.719500,0.588350
0.642857,0.249210,0.230020
0.642857,0.789957,0.530857
0.368571,0.589300,0.091120
0.407143,0.915675,0.320200
0.517857,0.577263,0.533125
0.066667,0.635217,0.072833
0.364286,0.900994,0.293975
0.165714,0.061040,0.192140
0.414286,0.923200,0.130000
0.609524,0.817058,0.309833
0.420000,0.619980,0.143980
0.580952,0.699533,0.073933
0.275000,0.517975,0.461450
0.445714,0.713120,0.047080
0.292857,0.958225,0.102650
0.938096,0.458450,0.117567
0.322857,0.875410,0.219960
0.302381,0.777925,0.584817
0.483334,0.969550,0.173283
0.685714,0.659567,0.436067
0.360714,0.904137,0.294350
0.578572,0.811075,0.370000
0.453572,0.535112,0.054225
0.400000,0.595279,0.216457
0.338961,0.899777,0.299536
0.600000,0.720400,0.141000
0.502857,0.769250,0.247140
0.417857,0.762337,0.140025
