alpha,phi,h
0.708177,-0.111942,-0.002808
0.498869,0.267338,0.174529
1.017763,0.619471,0.137597
-0.020102,0.414951,0.102313
0.517871,0.384953,0.254745
0.261155,0.139116,0.363594
0.304355,0.372921,0.323376
0.044153,0.329373,0.842077
0.258044,-0.024389,0.349437
0.312164,0.809195,0.226527
0.158520,0.290732,0.179555
0.150982,0.191899,0.097595
0.675633,0.565990,0.304990
0.367110,0.596584,0.166234
0.498229,0.250456,0.216375
0.497520,0.304219,0.316561
0.299412,0.049556,0.148627
0.469871,0.357691,0.285954
0.728603,0.657608,0.501430
0.247879,0.221698,0.170738
-0.135470,0.344068,-0.302128
0.262591,0.378334,0.316548
0.501471,0.086128,0.620704
0.248052,0.711191,0.685408
0.518556,0.320872,0.571135
-0.590306,0.042034,0.184914
0.796528,0.724710,0.792574
0.118665,0.448845,0.097469
0.585669,0.222427,0.166018
0.490902,0.203958,0.139745
0.274735,0.583900,0.575702
0.129996,0.028763,0.234110
0.111423,0.268369,-0.094136
0.045562,0.387728,0.385387
0.671072,0.483128,0.182141
0.355622,0.205002,0.050429
0.008231,0.388276,0.743899
0.225356,0.554860,0.163341
0.662433,0.367908,0.287264
0.263751,0.443457,0.169986
0.387930,0.177418,0.262014
0.157583,0.615606,0.220682
0.341499,0.439716,0.697255
0.377228,-0.184657,0.476694
0.202362,0.334698,0.206617
0.741729,0.833672,0.143580
0.076273,-0.442693,-0.453177
0.551285,0.240087,0.197936
-0.040828,0.191826,-0.697903
0.419858,0.354422,0.562466
-0.081091,0.166419,0.218979
0.910266,0.284410,0.142399
0.203842,-0.086639,0.114213
0.328297,0.227598,-0.016439
0.331917,0.169713,-0.265267
0.860181,0.340939,0.315438
0.480849,0.397768,0.047864
0.346271,0.906750,0.280282
0.268945,0.151291,0.032328
0.123731,0.332921,0.510233
0.234575,0.165638,-0.025916
-0.007904,0.071093,0.059706
0.331483,0.373199,0.745085
0.651886,0.487064,0.512157
0.371622,0.135763,0.314947
0.339025,0.782370,-0.409128
0.377489,0.467230,-0.175147
0.585323,0.592647,0.804269
0.820482,0.236353,0.672091
0.644695,0.382741,0.330342
0.361213,0.217754,-0.042220
0.588120,0.188551,0.363039
0.326245,0.329443,0.120980
0.541456,0.258465,0.333548
0.436228,0.352424,0.229156
0.019307,-0.001679,0.000112
0.501539,0.300897,0.801202
0.104709,0.174353,-0.288328
0.826804,0.479976,0.185940
0.268482,0.199750,-0.121224
0.557000,0.416135,0.370165
1.189305,0.146664,-0.029064
0.369016,0.470462,-0.123523
-0.097425,0.669490,-0.298008
0.163476,0.353703,0.614528
0.227909,0.147011,0.139371
0.520971,0.429495,-0.017171
0.377970,0.085449,0.052615
0.217975,0.334852,0.177842
0.153610,0.290914,0.294958
0.417850,0.427272,0.731992
0.395573,0.407190,0.468728
0.286252,0.433514,0.222690
-0.086261,0.207566,0.287388
0.356993,0.308454,0.160622
0.283872,0.304181,0.182776
0.151798,0.339980,0.917680
0.568406,0.695306,0.570348
0.250235,0.362348,0.299708
0.384557,0.348088,0.075454
