alpha,phi,h
0.091428,0.327285,0.030350
0.138776,0.212486,0.294786
0.052381,0.190133,0.372683
0.031429,0.262580,0.062340
0.133334,0.210150,0.254367
0.114286,0.025783,0.282533
0.242858,0.135350,0.154250
0.142857,0.022025,0.020650
0.114286,0.188450,0.126350
0.265714,0.307670,0.062740
0.068571,0.224960,0.155920
0.059524,0.133858,0.475600
0.045714,0.130720,0.132460
0.040000,0.515030,0.187520
0.134286,0.319340,0.044520
0.096428,0.139400,0.109350
0.002857,0.060830,0.066800
0.207143,0.598300,0.407225
0.140476,0.061300,0.385117
0.292857,0.124825,0.145600
0.232653,0.331950,0.299214
0.035714,0.345400,0.088825
0.285714,0.082700,0.036700
0.180952,0.773283,0.205767
0.320000,0.261470,0.162180
0.071429,0.686133,0.317700
0.371429,0.059400,0.413300
0.012245,0.118443,0.278886
0.128572,0.236600,0.569200
0.142857,0.214550,0.355186
0.107143,0.087512,0.159225
0.132143,0.405050,0.265550
0.185714,0.085850,0.161600
0.266667,0.333283,0.439550
0.157143,0.004350,0.001300
0.059183,0.079750,0.470629
0.198572,0.072625,0.104550
0.145715,0.037210,0.162720
0.014286,0.044030,0.335820
0.064286,0.277642,0.082017
0.057143,0.360850,0.074725
0.078571,0.403050,0.551400
0.242858,0.066000,0.217050
0.092857,0.143625,0.762550
0.151429,0.210780,0.215900
0.100000,0.103433,0.115617
0.032143,0.268800,0.116175
0.292857,0.119975,0.071950
0.538096,0.262517,0.020267
0.204082,0.045214,0.240700
0.439286,0.216900,0.240225
0.242857,0.135570,0.117060
0.201786,0.030600,0.236938
0.157143,0.117237,0.324587
0.414286,0.366317,0.030067
0.231429,0.207160,0.256880
0.039286,0.383337,0.105275
0.150000,0.144975,0.160950
0.214286,0.138400,0.064940
0.038095,0.124683,0.336900
0.242857,0.231250,0.186600
0.050000,0.264575,0.035900
0.154762,0.190942,0.201483
0.060714,0.272713,0.081825
0.285714,0.411963,0.310425
0.224490,0.066779,0.212786
0.185714,0.377550,0.496600
0.140000,0.296440,0.073380
0.057143,0.281580,0.399060
0.264286,0.091025,0.194850
0.080000,0.093140,0.382460
0.071429,0.094925,0.059800
0.158333,0.061954,0.152783
0.160714,0.061325,0.024025
0.095238,0.365017,0.264033
0.103572,0.177350,0.004025
0.522857,0.035740,0.352220
0.085714,0.215340,0.114200
0.071429,0.154967,0.013667
0.204762,0.282767,0.106600
0.134286,0.102670,0.091020
0.096429,0.354087,0.280375
0.189286,0.306000,0.196250
0.071428,0.276708,0.066633
0.065714,0.057930,0.329100
0.177143,0.059900,0.501240
0.157143,0.223125,0.311100
0.185715,0.332100,0.381950
0.169048,0.241767,0.219250
0.038095,0.059167,0.351700
0.020000,0.092340,0.202540
0.177143,0.418900,0.125060
0.100000,0.040950,0.032875
0.185714,0.110762,0.292175
0.080952,0.055692,0.041200
0.392858,0.477392,0.405867
0.071428,0.180075,0.110000
0.074286,0.168340,0.564020
0.417857,0.496113,0.425100
0.212987,0.423241,0.297655
