alpha,phi,h
0.283874,0.900589,0.101584
0.262267,0.909515,0.107221
0.281723,0.936339,0.114966
0.370943,0.883262,0.102078
0.282187,0.899998,0.120184
0.278548,0.903212,0.114341
0.234160,0.909015,0.104837
0.255644,0.964810,0.119523
0.291607,0.913026,0.093925
0.315431,0.869186,0.104488
0.276685,0.906964,0.100630
0.294424,0.922178,0.105341
0.300449,0.907870,0.108549
0.203028,0.886776,0.098427
0.289547,0.878398,0.098967
0.257237,0.905393,0.103021
0.295260,0.864959,0.112858
0.256812,0.851446,0.107648
0.305063,0.903192,0.103093
0.290352,0.908120,0.098469
0.301712,0.900202,0.093432
0.307501,0.871596,0.089576
0.297294,0.892515,0.108967
0.240262,0.903767,0.107978
0.316822,0.890854,0.115492
0.281788,0.933590,0.116212
0.271155,0.847883,0.099893
0.275464,0.878878,0.105704
0.343584,0.922183,0.115409
0.249272,0.921742,0.098127
0.281413,0.937099,0.111419
0.297545,0.913433,0.100825
0.318274,0.899559,0.100625
0.240915,0.875205,0.101891
0.312402,0.862120,0.093931
0.286800,0.855970,0.097607
0.308044,0.878549,0.107144
0.340162,0.887065,0.082778
0.272592,0.899709,0.107292
0.307565,0.883783,0.096676
0.316102,0.898047,0.099733
0.286238,0.920670,0.095926
0.276615,0.895204,0.096645
0.323235,0.924827,0.098830
0.269017,0.846163,0.081924
0.336764,0.936007,0.099489
0.297767,0.910333,0.099249
0.294472,0.917698,0.098537
0.318756,0.873120,0.104862
0.313709,0.883915,0.106902
0.377060,0.882742,0.103359
0.287534,0.902150,0.105366
0.314390,0.875067,0.100481
0.369665,0.899040,0.105191
0.283325,0.889109,0.100705
0.300897,0.918125,0.125332
0.332404,0.881787,0.085809
0.203860,0.868563,0.112588
0.265717,0.856226,0.109612
0.286486,0.913657,0.112685
0.317790,0.928824,0.107073
0.303633,0.889901,0.108672
0.329819,0.904130,0.101325
0.290278,0.913934,0.102211
0.273486,0.909291,0.100401
0.327970,0.854085,0.108350
0.231247,0.912326,0.092075
0.311436,0.903369,0.105723
0.288408,0.874349,0.127683
0.309856,0.872190,0.101693
0.305315,0.902924,0.087742
0.238206,0.858862,0.101529
0.242622,0.877781,0.093033
0.278704,0.910786,0.119467
0.277411,0.916299,0.096305
0.310482,0.899336,0.091426
0.243981,0.919378,0.112542
0.305404,0.868895,0.093687
0.381202,0.905093,0.105792
0.292633,0.902337,0.103914
0.278240,0.896618,0.113484
0.269333,0.943069,0.101234
0.281604,0.933330,0.122437
0.278896,0.856060,0.107533
0.299960,0.901574,0.099156
0.322019,0.902355,0.101436
0.273890,0.881335,0.111292
0.296498,0.898242,0.110375
0.265285,0.925115,0.111967
0.295328,0.907766,0.085471
0.305962,0.917787,0.103511
0.251133,0.918043,0.092788
0.243544,0.883667,0.112701
0.330144,0.903251,0.107985
0.321457,0.917147,0.105147
0.318854,0.912815,0.106595
0.315828,0.918251,0.111799
0.296184,0.910528,0.094413
0.285408,0.941486,0.112551
0.309365,0.885854,0.098584
