alpha,phi,h
0.387013,0.819500,0.049073
0.871429,0.646675,0.050750
0.247619,0.955267,0.085333
0.667347,0.798886,0.364929
0.640476,0.915933,0.149167
0.560715,0.822925,0.768475
0.364286,0.603725,0.108500
0.583929,0.454850,0.306225
0.688571,0.877250,0.154760
0.739286,0.836150,0.378075
0.535714,0.865762,0.161925
0.716667,0.774825,0.161100
0.794286,0.645380,0.051680
0.673469,0.659679,0.390371
0.839286,0.755987,0.047975
0.560715,0.906362,0.254175
0.452381,0.901767,0.322267
0.738095,0.384900,0.405417
0.680952,0.711750,0.125150
0.911905,0.918408,0.050733
0.720000,0.508460,0.077920
0.360000,0.876710,0.252100
0.585714,0.838100,0.049000
0.690476,0.769133,0.379300
0.768571,0.914620,0.049940
0.779592,0.839921,0.043929
0.416327,0.567329,0.210271
0.728571,0.871750,0.158300
0.582857,0.842370,0.179540
0.582857,0.772140,0.152420
0.959184,0.789214,0.232329
0.642857,0.786587,0.130225
0.666667,0.740783,0.167533
0.832143,0.776537,0.317575
0.578572,0.980150,0.037025
0.783929,0.820912,0.594688
0.771428,0.766517,0.423400
0.600000,0.943379,0.169529
0.614286,0.922933,0.131533
0.622449,0.833100,0.287043
0.509524,0.833717,0.951600
0.873810,0.704925,0.188700
0.427143,0.759540,0.109780
0.848214,0.940381,0.234550
0.792857,0.720225,0.013150
0.254762,0.668833,0.446867
0.603571,0.898250,0.140750
0.520000,0.688290,0.243560
0.828572,0.221383,0.421167
0.785714,0.925325,0.117200
0.595918,0.736343,0.231214
0.534285,0.552910,0.764380
0.638095,0.939725,0.036300
0.607143,0.797675,0.836300
0.792857,0.589175,0.196600
0.564286,0.907925,0.147250
0.502857,0.889970,0.139020
0.814286,0.917400,0.063800
0.452381,0.922017,0.381711
0.602857,0.732780,0.236050
0.764285,0.669800,0.453325
0.457143,0.763470,0.141140
0.685714,0.813950,0.314820
0.842857,0.823500,0.072050
0.432143,0.880025,0.145875
0.957143,0.447260,0.307140
0.657143,0.809619,0.069100
0.685715,0.641450,0.158075
0.814286,0.373429,0.092286
0.764286,0.772212,0.638500
0.414286,0.560100,0.083200
0.785714,0.896150,0.047980
0.611905,0.626658,0.417267
0.757143,0.645143,0.452257
0.590476,0.803667,0.094983
0.564286,0.698575,0.286800
0.857143,0.573050,0.147775
0.817858,0.595612,0.098900
0.628571,0.890450,0.052910
0.702041,0.864893,0.921629
0.557143,0.774300,0.205300
0.519047,0.785406,0.159400
0.890476,0.559883,0.291983
0.523809,0.785333,0.125367
0.732143,0.943725,0.312125
0.428572,0.445340,0.148740
0.200000,0.714025,0.800533
0.600000,0.738812,0.605825
0.926191,0.600325,0.289067
0.633333,0.485283,0.430333
0.464285,0.905517,0.198633
0.950000,0.739950,0.025350
0.593651,0.694900,0.357200
0.620000,0.879570,0.203160
0.675510,0.969264,0.279014
0.282857,0.864270,0.235600
0.407936,0.811822,0.093878
0.412500,0.198400,0.440987
0.462857,0.744600,0.285060
0.748572,0.763110,0.389620
