alpha,phi,h
0.435982,0.122184,0.577166
0.417355,0.090358,0.588184
0.438934,0.099541,0.630254
0.427505,0.086899,0.570293
0.461347,0.087263,0.583491
0.430506,0.067648,0.598694
0.449480,0.117271,0.590059
0.477338,0.057566,0.605973
0.430333,0.087148,0.623778
0.424825,0.087098,0.614757
0.395992,0.090971,0.573686
0.476735,0.074844,0.567637
0.426214,0.109865,0.602716
0.418663,0.114099,0.573627
0.402573,0.105922,0.548808
0.504821,0.093484,0.623484
0.444400,0.091171,0.533291
0.454032,0.091089,0.595343
0.457771,0.081383,0.604972
0.455912,0.076686,0.597671
0.400329,0.091407,0.628676
0.482621,0.078196,0.625816
0.450224,0.100731,0.622404
0.419466,0.092577,0.568390
0.461208,0.088661,0.616614
0.361673,0.102266,0.602030
0.395225,0.088667,0.590779
0.460756,0.090601,0.619580
0.445094,0.061232,0.571569
0.480816,0.065565,0.605028
0.492551,0.090313,0.566124
0.393325,0.118430,0.560441
0.475862,0.051546,0.656182
0.476300,0.110053,0.606389
0.464413,0.084651,0.584457
0.410663,0.097525,0.594164
0.448773,0.104246,0.561204
0.414881,0.098532,0.607791
0.428272,0.083238,0.597579
0.385101,0.111804,0.580260
0.469950,0.114133,0.589535
0.431248,0.069862,0.614249
0.365062,0.080278,0.579178
0.445420,0.111284,0.636062
0.398722,0.070592,0.638616
0.427595,0.111103,0.617021
0.454220,0.090505,0.576415
0.427470,0.089758,0.598673
0.439251,0.103234,0.558924
0.400554,0.088572,0.595855
0.462775,0.076607,0.614583
0.354263,0.094728,0.592186
0.405107,0.102680,0.622593
0.401564,0.108669,0.581864
0.402311,0.111130,0.603119
0.456501,0.092320,0.626312
0.517934,0.099546,0.634056
0.487195,0.108953,0.618091
0.492518,0.096744,0.604875
0.398681,0.073589,0.598775
0.433621,0.128055,0.537885
0.455424,0.096215,0.538551
0.424661,0.092611,0.570391
0.408891,0.084248,0.585796
0.429332,0.090343,0.593967
0.435235,0.108804,0.578669
0.429905,0.103249,0.571225
0.431000,0.101174,0.609768
0.412980,0.115848,0.555421
0.421613,0.110865,0.567510
0.430929,0.092260,0.645656
0.385652,0.072617,0.559478
0.435976,0.077650,0.611578
0.448573,0.107087,0.594531
0.404691,0.099879,0.580444
0.463599,0.107217,0.619958
0.475680,0.097666,0.566947
0.442180,0.091443,0.575669
0.461144,0.108617,0.616711
0.401058,0.100226,0.601029
0.436052,0.095386,0.628374
0.453040,0.096593,0.604076
0.408155,0.086334,0.568082
0.427066,0.114586,0.599958
0.471670,0.098815,0.609765
0.406600,0.071893,0.625080
0.436522,0.071943,0.588575
0.484746,0.098824,0.570516
0.450983,0.070969,0.571675
0.433358,0.101786,0.598128
0.417186,0.079232,0.613673
0.408139,0.112484,0.619755
0.407485,0.105123,0.618044
0.434202,0.103310,0.646724
0.409387,0.103067,0.572573
0.437295,0.084170,0.601608
0.466846,0.087238,0.557185
0.439923,0.073460,0.574941
0.408289,0.093235,0.591357
0.395630,0.121458,0.586112
