alpha,phi,h
0.021428,0.145850,0.531600
0.102041,0.078407,0.464486
0.261905,0.191950,0.174211
0.248571,0.272820,0.070220
0.404762,0.264133,0.032833
0.212245,0.193357,0.647014
0.075000,0.608588,0.288050
0.139286,0.446500,0.401550
0.117857,0.445687,0.498525
0.157143,0.466980,0.313340
0.071429,0.697183,0.187783
0.435715,0.084850,0.575200
0.279365,0.277161,0.068456
0.308928,0.480444,0.327150
0.608164,0.488664,0.362800
0.075000,0.709925,0.374050
0.214286,0.489100,0.329767
0.310714,0.538388,0.243075
0.283333,0.306833,0.142483
0.085714,0.351950,0.632133
0.192857,0.728250,0.719050
0.116667,0.364925,0.530967
0.075510,0.747557,0.396800
0.141270,0.291633,0.110744
0.096429,0.675137,0.096375
0.157143,0.150250,0.217800
0.128572,0.854889,0.129356
0.185715,0.196250,0.760800
0.475000,0.088562,0.401675
0.087755,0.667179,0.147814
0.480952,0.214217,0.517267
0.295238,0.398242,0.467017
0.260000,0.145100,0.364600
0.366667,0.414483,0.054800
0.242857,0.217350,0.328580
0.209524,0.448700,0.463067
0.314286,0.923950,0.153940
0.351021,0.906550,0.072929
0.171429,0.081175,0.103567
0.514286,0.249700,0.166933
0.257143,0.370100,0.268100
0.192857,0.240925,0.735500
0.492857,0.096600,0.460725
0.225000,0.284813,0.531800
0.091428,0.687040,0.417460
0.485714,0.320650,0.521400
0.209524,0.454283,0.272067
0.095238,0.136708,0.234633
0.350000,0.073400,0.386750
0.088095,0.061575,0.719450
0.446429,0.522050,0.057600
0.200000,0.144838,0.815700
0.077551,0.356686,0.217800
0.374286,0.222590,0.142740
0.200000,0.458300,0.185843
0.061905,0.256917,0.108167
0.416327,0.162850,0.082814
0.182857,0.068730,0.105440
0.319048,0.482961,0.260289
0.368571,0.312140,0.142540
0.410714,0.172075,0.541450
0.180952,0.196517,0.128233
0.292857,0.105225,0.267200
0.092857,0.202200,0.249333
0.042857,0.774875,0.470475
0.102857,0.181360,0.179780
0.340000,0.110220,0.420920
0.135714,0.311267,0.445983
0.228572,0.506700,0.501933
0.357143,0.225850,0.405000
0.297402,0.319068,0.132509
0.485714,0.814950,0.270000
0.330952,0.268875,0.063800
0.071429,0.091500,0.138867
0.275000,0.394400,0.428600
0.071429,0.322250,0.378950
0.160000,0.733220,0.672180
0.371428,0.423033,0.106250
0.250000,0.347837,0.125675
0.271428,0.174857,0.519529
0.407143,0.538725,0.209275
0.471429,0.893500,0.009200
0.214286,0.401000,0.265700
0.383673,0.096507,0.670900
0.060000,0.489890,0.272580
0.634286,0.531870,0.414840
0.075000,0.265900,0.107875
0.248572,0.175690,0.455780
0.145238,0.230808,0.311117
0.445714,0.705320,0.202360
0.077143,0.541510,0.294180
0.152381,0.514250,0.290150
0.128572,0.221810,0.296420
0.257143,0.429908,0.302350
0.341071,0.154587,0.458612
0.078571,0.319800,0.463400
0.123809,0.485625,0.315333
0.111429,0.108090,0.385980
0.460714,0.188050,0.228325
0.071429,0.728100,0.263225
