alpha,phi,h
0.288095,0.395208,0.093700
0.290476,0.173500,0.096567
0.264286,0.035900,0.358250
0.309524,0.190492,0.221633
0.392857,0.297625,0.112350
0.582143,0.203000,0.064550
0.282143,0.052875,0.347700
0.271428,0.352817,0.261100
0.371429,0.226900,0.108900
0.146429,0.387838,0.216200
0.226191,0.438717,0.267167
0.476191,0.193000,0.115867
0.554762,0.853550,0.289033
0.141429,0.164120,0.348920
0.408571,0.195620,0.439900
0.319048,0.033883,0.622833
0.478572,0.130581,0.265900
0.554286,0.436700,0.126860
0.317143,0.137920,0.051960
0.497619,0.134850,0.369033
0.623810,0.391658,0.229167
0.355357,0.039988,0.207375
0.292857,0.635625,0.294200
0.242857,0.403740,0.357620
0.042857,0.597750,0.152067
0.292857,0.095425,0.363500
0.303571,0.279463,0.806925
0.571429,0.126200,0.299017
0.314286,0.235763,0.107425
0.426984,0.335756,0.024011
0.289286,0.243950,0.279550
0.208163,0.176314,0.520900
0.261905,0.342383,0.002633
0.323809,0.152183,0.271267
0.491428,0.043540,0.167460
0.330952,0.082700,0.152583
0.440476,0.213167,0.437717
0.171428,0.096275,0.327400
0.471429,0.244550,0.631700
0.265306,0.020100,0.366957
0.452381,0.078025,0.161367
0.333333,0.132461,0.181789
0.582857,0.178640,0.058780
0.438095,0.093000,0.481517
0.261905,0.381200,0.412967
0.235714,0.383450,0.207850
0.353968,0.095556,0.283922
0.600000,0.386700,0.152200
0.231429,0.260910,0.361700
0.074286,0.245810,0.384660
0.492857,0.032175,0.246750
0.245714,0.714500,0.103840
0.660000,0.169600,0.111400
0.307142,0.167700,0.745350
0.376190,0.323150,0.103522
0.183929,0.111350,0.188513
0.345714,0.267520,0.266280
0.446429,0.178750,0.282325
0.082143,0.212913,0.326500
0.252381,0.299775,0.309267
0.159184,0.120586,0.307100
0.300000,0.620030,0.268600
0.104762,0.060917,0.074233
0.261905,0.038167,0.497033
0.177551,0.147257,0.042543
0.471429,0.065870,0.227500
0.625714,0.292010,0.128080
0.295238,0.135817,0.048633
0.345714,0.429340,0.304360
0.595239,0.434117,0.463683
0.642857,0.267700,0.046100
0.361905,0.409117,0.371100
0.306122,0.313357,0.343743
0.342857,0.340071,0.327514
0.219048,0.254350,0.124367
0.335715,0.164850,0.330150
0.364286,0.110550,0.392467
0.104082,0.214564,0.192871
0.507143,0.245750,0.220325
0.261905,0.049683,0.387367
0.235714,0.340400,0.086700
0.342857,0.351775,0.219600
0.203572,0.030837,0.407850
0.309524,0.556058,0.192750
0.542857,0.135875,0.005400
0.446429,0.307075,0.253300
0.321429,0.090625,0.041700
0.142857,0.279717,0.237400
0.614286,0.215725,0.035100
0.414286,0.245545,0.250270
0.375510,0.379557,0.532286
0.271429,0.306000,0.539600
0.260714,0.369012,0.113875
0.300000,0.120500,0.101500
0.525714,0.184650,0.343680
0.393878,0.441014,0.029314
0.196429,0.370413,0.332025
0.257143,0.333010,0.051920
0.360000,0.342080,0.327200
0.276191,0.076661,0.523233
