alpha,phi,h
0.070161,0.183570,0.414600
0.109469,0.175210,0.407081
0.127016,0.218713,0.411961
0.140273,0.204796,0.456593
0.124319,0.153894,0.420721
0.074725,0.178919,0.454917
0.093456,0.217226,0.398015
0.104134,0.193203,0.393531
0.080637,0.190357,0.375321
0.093912,0.208565,0.430769
0.085606,0.166930,0.452226
0.069438,0.163214,0.428197
0.082526,0.187062,0.435568
0.114803,0.211265,0.409804
0.083910,0.180685,0.447081
0.076507,0.199026,0.417298
0.090208,0.173230,0.427722
0.080374,0.176305,0.381496
0.102418,0.199643,0.445400
0.118201,0.199737,0.393174
0.094233,0.219757,0.421714
0.076800,0.183846,0.437282
0.093885,0.210133,0.441776
0.128922,0.208027,0.399034
0.112505,0.181249,0.419008
0.100130,0.193114,0.418657
0.083163,0.201820,0.406516
0.101644,0.187423,0.433223
0.104899,0.209903,0.469391
0.091178,0.192201,0.412638
0.049051,0.204177,0.408311
0.074640,0.216116,0.391631
0.089591,0.167537,0.390349
0.105465,0.181517,0.451091
0.126454,0.195315,0.412539
0.134406,0.186171,0.411670
0.078637,0.197990,0.376109
0.106553,0.249181,0.459068
0.112038,0.211008,0.419217
0.092635,0.176738,0.460413
0.084772,0.193829,0.429636
0.133354,0.212102,0.440706
0.099325,0.190634,0.476834
0.127041,0.186347,0.445296
0.103893,0.163943,0.421923
0.110466,0.196379,0.392773
0.103176,0.182182,0.470553
0.096792,0.227824,0.417025
0.057144,0.179294,0.404326
0.070029,0.177982,0.410829
0.059407,0.171627,0.431853
0.115192,0.202750,0.435729
0.113136,0.220635,0.440083
0.087975,0.154513,0.403417
0.111759,0.250300,0.412269
0.094414,0.180229,0.443943
0.074267,0.224378,0.406649
0.112791,0.231877,0.411453
0.121900,0.255661,0.450453
0.106459,0.171229,0.398576
0.079399,0.190835,0.403715
0.081209,0.202932,0.414077
0.086534,0.192845,0.400275
0.080270,0.190576,0.429854
0.102126,0.162371,0.445779
0.093125,0.205432,0.409805
0.078521,0.157702,0.414678
0.073639,0.189530,0.407566
0.096951,0.201556,0.414320
0.088240,0.167973,0.454431
0.082784,0.199522,0.398965
0.096400,0.222546,0.424579
0.091034,0.245354,0.396983
0.047759,0.192299,0.406119
0.129969,0.219946,0.447431
0.116009,0.234519,0.471343
0.095385,0.153555,0.417360
0.085190,0.191124,0.422141
0.098418,0.231331,0.417619
0.108164,0.240798,0.433230
0.115611,0.176977,0.420765
0.137320,0.189517,0.368449
0.138192,0.208975,0.384884
0.100832,0.181145,0.363108
0.106037,0.247620,0.426685
0.081127,0.154063,0.414463
0.086742,0.226045,0.413550
0.089619,0.219778,0.417885
0.093305,0.252314,0.412440
0.085878,0.234923,0.437038
0.105971,0.243612,0.410587
0.119323,0.197195,0.431552
0.107767,0.182433,0.398179
0.121513,0.203515,0.362670
0.077058,0.149874,0.407839
0.092212,0.243956,0.384168
0.085496,0.206625,0.433351
0.131449,0.218786,0.418639
0.118808,0.186371,0.453171
0.068623,0.191843,0.422010
