alpha,phi,h
0.828571,0.666780,0.398820
0.704762,0.784133,0.090433
0.511905,0.686192,0.165867
0.475510,0.549393,0.085629
0.557143,0.402569,0.149700
0.421428,0.799287,0.368575
0.678571,0.496050,0.367150
0.752381,0.336600,0.277767
0.759524,0.425233,0.510300
0.483334,0.187933,0.862383
0.523810,0.531850,0.213967
0.704762,0.326133,0.328933
0.532143,0.484000,0.098125
0.795238,0.275317,0.192000
0.604082,0.856614,0.126729
0.475000,0.740000,0.147700
0.451429,0.554020,0.218400
0.500000,0.193640,0.257220
0.228572,0.533580,0.269080
0.414285,0.977325,0.448400
0.517857,0.923462,0.100300
0.557143,0.307500,0.024400
0.690476,0.583167,0.443533
0.642857,0.630350,0.429511
0.392857,0.803987,0.396600
0.700000,0.531750,0.237700
0.697143,0.879650,0.163460
0.561905,0.858250,0.231567
0.985714,0.403400,0.298000
0.557143,0.249271,0.309986
0.628571,0.054450,0.170400
0.411905,0.256275,0.334100
0.634694,0.181536,0.255329
0.785714,0.460675,0.287700
0.436734,0.825521,0.479486
0.471428,0.091313,0.760975
0.619047,0.441317,0.650467
0.914286,0.908850,0.051600
0.561905,0.562867,0.505400
0.442858,0.669250,0.110450
0.192857,0.911925,0.313950
0.554762,0.546408,0.093133
0.652381,0.497417,0.204100
0.453571,0.477506,0.153862
0.461905,0.691367,0.177133
0.391837,0.939221,0.059129
0.322449,0.486514,0.544343
0.662857,0.628150,0.477820
0.579365,0.409628,0.513511
0.600000,0.377271,0.318571
0.579592,0.230850,0.284857
0.508571,0.771010,0.076480
0.514286,0.546930,0.418200
0.414286,0.599880,0.544060
0.338095,0.417050,0.269600
0.568571,0.749620,0.112480
0.346429,0.940937,0.183350
0.866667,0.452250,0.134600
0.664285,0.672250,0.438000
0.742857,0.554437,0.392275
0.600000,0.639200,0.451843
0.685714,0.520900,0.233400
0.477551,0.697700,0.186629
0.728572,0.570217,0.091983
0.740000,0.312730,0.581880
0.622222,0.961167,0.372733
0.560714,0.680275,0.554625
0.465080,0.670883,0.174789
0.788095,0.557500,0.058867
0.835715,0.386513,0.331025
0.583674,0.975407,0.327014
0.391837,0.743157,0.415643
0.742857,0.691050,0.077800
0.371429,0.817360,0.049760
0.485714,0.674342,0.436483
0.460714,0.225288,0.263800
0.671428,0.692064,0.472914
0.554286,0.882680,0.151160
0.290476,0.499800,0.307400
0.332653,0.541664,0.512143
0.423810,0.690500,0.119900
0.471429,0.517775,0.092050
0.496825,0.328772,0.399200
0.804762,0.495200,0.172967
0.785714,0.369960,0.290920
0.364286,0.551638,0.553725
0.642857,0.655290,0.066460
0.389286,0.724338,0.250200
0.617857,0.204075,0.425625
0.538095,0.351300,0.175700
0.346429,0.921050,0.208225
0.503572,0.520162,0.077150
0.590477,0.490225,0.097767
0.631429,0.415040,0.371520
0.750000,0.469025,0.608400
0.582857,0.724150,0.150940
0.642857,0.685170,0.465920
0.261905,0.633600,0.158233
0.406122,0.643500,0.283514
0.350000,0.780850,0.312125
