alpha,phi,h
0.120000,0.194670,0.620800
0.157143,0.342450,0.709400
0.442857,0.741120,0.020400
0.375000,0.143650,0.183525
0.351020,0.377043,0.464700
0.134694,0.036971,0.746443
0.353571,0.073381,0.311462
0.351428,0.049210,0.755860
0.119048,0.317567,0.665300
0.094285,0.801310,0.328140
0.274285,0.321080,0.549260
0.100000,0.279683,0.347167
0.059184,0.258293,0.367257
0.766667,0.503567,0.249533
0.453571,0.180700,0.709500
0.146429,0.494025,0.588625
0.235714,0.098265,0.952820
0.035714,0.152262,0.444275
0.138095,0.069350,0.151600
0.145714,0.123410,0.851940
0.182857,0.276690,0.683180
0.314286,0.450275,0.349500
0.195238,0.273883,0.673800
0.309524,0.589200,0.098000
0.410714,0.265463,0.177175
0.442857,0.028350,0.971200
0.252381,0.364150,0.532267
0.203571,0.108775,0.826525
0.530612,0.079307,0.363814
0.142857,0.331400,0.651720
0.160000,0.635470,0.083620
0.421428,0.088150,0.057900
0.177143,0.198280,0.737300
0.228571,0.229612,0.864225
0.171429,0.194450,0.218767
0.100000,0.804700,0.220475
0.064285,0.070837,0.316825
0.085714,0.094275,0.541500
0.085714,0.344887,0.600950
0.147619,0.106833,0.737933
0.145714,0.265570,0.678920
0.192858,0.440025,0.144450
0.240816,0.316900,0.594014
0.347619,0.287850,0.126167
0.489286,0.199200,0.580650
0.060714,0.164325,0.344750
0.375000,0.561113,0.788800
0.376191,0.725058,0.509767
0.266666,0.137083,0.821633
0.647619,0.692500,0.178633
0.088572,0.484790,0.322340
0.562857,0.583220,0.381460
0.132653,0.184379,0.830386
0.411904,0.149275,0.877233
0.217143,0.463670,0.380360
0.162857,0.362380,0.679740
0.222222,0.760178,0.297833
0.307143,0.087992,0.662233
0.076190,0.784617,0.146200
0.071429,0.081800,0.639100
0.040000,0.092470,0.321920
0.367857,0.172537,0.254250
0.114286,0.242764,0.432943
0.046429,0.225956,0.383600
0.200000,0.316117,0.618933
0.078572,0.263300,0.253300
0.128572,0.254362,0.562250
0.414286,0.563025,0.090200
0.292857,0.518750,0.496200
0.107143,0.474625,0.314100
0.285714,0.242390,0.154440
0.652381,0.570800,0.085817
0.285714,0.312450,0.016900
0.464286,0.347492,0.403917
0.295238,0.797300,0.293033
0.085714,0.064970,0.681220
0.107143,0.075237,0.691250
0.164286,0.654212,0.847625
0.161904,0.083150,0.240600
0.114286,0.173125,0.429550
0.192857,0.526225,0.093283
0.214286,0.142525,0.194550
0.421428,0.958675,0.479350
0.190000,0.667350,0.565290
0.178571,0.166725,0.757550
0.265714,0.169990,0.781040
0.350000,0.303725,0.257950
0.108571,0.186000,0.665760
0.128572,0.412483,0.282533
0.288095,0.513108,0.555917
0.047619,0.236817,0.413800
0.428571,0.253750,0.901500
0.305714,0.579110,0.113360
0.154286,0.270540,0.577920
0.209524,0.572617,0.293200
0.083333,0.156350,0.602767
0.134694,0.069750,0.645171
0.042857,0.048930,0.367260
0.582143,0.452931,0.446888
0.140000,0.292460,0.659820
