alpha,phi,h
0.595238,0.671450,0.681133
0.574603,0.794528,0.776844
0.528571,0.750350,0.959100
0.742857,0.593900,0.792400
0.506349,0.692378,0.429589
0.428572,0.884250,0.477900
0.753571,0.506850,0.889600
0.548979,0.429900,0.866414
0.619048,0.011400,0.609183
0.400000,0.811033,0.724400
0.488095,0.584983,0.570550
0.559184,0.897457,0.947057
0.206122,0.336736,0.807400
0.409524,0.443750,0.726767
0.454286,0.530780,0.965860
0.544445,0.859822,0.557356
0.320000,0.813880,0.351100
0.517143,0.755720,0.933960
0.485714,0.505337,0.897900
0.433333,0.905533,0.893833
0.610390,0.858409,0.613545
0.619047,0.972075,0.837617
0.533333,0.883167,0.949267
0.614286,0.639613,0.875675
0.467857,0.794413,0.879825
0.404762,0.926483,0.868167
0.582857,0.656880,0.420180
0.557143,0.614737,0.683875
0.505714,0.288720,0.592240
0.505714,0.731170,0.926120
0.367857,0.570963,0.873375
0.403174,0.810050,0.442233
0.278571,0.419450,0.691600
0.574603,0.743422,0.920989
0.466667,0.811617,0.832889
0.378572,0.549000,0.715025
0.471429,0.487500,0.947850
0.685714,0.807667,0.378433
0.565714,0.091270,0.809360
0.322857,0.916920,0.851340
0.469048,0.862308,0.685817
0.475510,0.834329,0.609271
0.383333,0.836525,0.668800
0.092857,0.860817,0.424133
0.250000,0.243975,0.836500
0.666667,0.400017,0.828100
0.280000,0.619750,0.901780
0.471428,0.865900,0.578500
0.603572,0.890262,0.356150
0.061905,0.942850,0.904050
0.385714,0.787725,0.470900
0.457143,0.428750,0.963033
0.507143,0.802437,0.795100
0.285714,0.555280,0.549000
0.390476,0.883950,0.431783
0.542857,0.948050,0.753400
0.589286,0.514563,0.892125
0.328572,0.795375,0.301100
0.454286,0.660830,0.751880
0.828571,0.569317,0.344233
0.753572,0.753900,0.376400
0.617143,0.759510,0.505360
0.646939,0.525386,0.875957
0.278571,0.757867,0.715183
0.571429,0.795000,0.508700
0.622857,0.674300,0.610300
0.628571,0.927100,0.892400
0.464286,0.791800,0.939550
0.571429,0.752567,0.447867
0.596429,0.490663,0.562950
0.193651,0.332144,0.905300
0.307143,0.850792,0.411900
0.580953,0.888117,0.445200
0.066667,0.624733,0.885867
0.471429,0.942100,0.701850
0.500000,0.967425,0.825575
0.535714,0.901800,0.510233
0.525397,0.720189,0.649200
0.528572,0.841200,0.905333
0.421429,0.622525,0.537917
0.492857,0.149613,0.822800
0.548572,0.970310,0.796380
0.638095,0.866600,0.942267
0.200000,0.830970,0.931480
0.836735,0.584343,0.715071
0.510390,0.405273,0.681764
0.523809,0.936950,0.840433
0.592857,0.478362,0.692525
0.624490,0.847300,0.856886
0.566667,0.935650,0.787717
0.842857,0.675700,0.550780
0.542857,0.768329,0.747086
0.357143,0.620975,0.594367
0.867857,0.429187,0.784625
0.551021,0.553886,0.892657
0.446939,0.642086,0.604343
0.474286,0.767260,0.679980
0.565715,0.656770,0.645500
0.621429,0.645038,0.625975
0.128571,0.916650,0.800900
